CNIC,First Name,Last Name,Father Name,Email,Password,Bar Council Reg No,Phone Number
60970-6973068-1,Nella,Goldner,Mark Kerluke,Ramona_Casper61@gmail.com,mitaciwira,BC-683713,0337-8553145
47531-3800231-1,Gussie,Terry,Kellie Mante,Matilde52@yahoo.com,kumeqileje,BC-977861,0302-8799631
30883-1351675-3,Joanie,Jones-Koss,Henrietta Maggio,Richard.Russel@gmail.com,lobesuribi,BC-398398,0304-8375228
"21642-0731859-1","Gregory","Brown","Gary Hilpert","Keshaun.Flatley@gmail.com","novubeqefo","BC-764984","0303-8398595"
"67884-2161597-8","Annetta","Hessel","Dr. Ginger Harber","Jaleel_Mante68@hotmail.com","xebeyeqiki","BC-780810","0347-9079796"
"38188-7752177-5","Cleo","Fritsch","Miriam Kuhic","Tavares_Wiegand43@gmail.com","qaneyicovo","BC-382514","0329-3656431"
"48021-2253935-8","Keely","Pagac","Colin Kirlin Jr.","Megane_Toy82@yahoo.com","kenuzupoho","BC-475462","0348-6922499"
"57799-5343396-2","Tavares","Rempel","Margarita Ledner DVM","Dave8@hotmail.com","kilatayulo","BC-507562","0305-8488137"
"80291-2402123-3","Michele","Brakus","Blanche Beier II","Kian.Bruen@gmail.com","gifivifali","BC-946329","0382-5249772"
"61894-6729606-4","Riley","Barton","Dale Jacobs","Adam_Howe83@gmail.com","xinalijafe","BC-898281","0310-0921089"
"72691-6013490-8","Ova","O'Hara","Duane Metz","Hayden_Erdman40@hotmail.com","xutucegoxu","BC-511754","0345-8642796"
"38344-8664614-1","Lucio","Block","Benny Gerhold-Blick","Joanne_Blanda70@gmail.com","muhapefuje","BC-091577","0357-9727921"
"74056-5569582-9","Adrian","Corwin","Alfredo Franecki","Korey_Johnston13@gmail.com","soxuhapiso","BC-186115","0363-6194641"
